school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,pass
MS,F,18,U,LE3,T,4,1,2,4,0,yes,no,no,no,yes,yes,no,4,2,4,4,1,2,3,14,12,13,1
GP,F,17,R,GT3,T,3,0,2,2,1,no,no,no,no,yes,yes,no,3,5,5,5,2,3,3,14,14,15,1
GP,F,15,U,GT3,T,3,4,4,1,0,yes,no,yes,no,yes,yes,no,3,5,5,1,3,3,4,14,13,13,1
GP,F,19,U,GT3,T,4,0,4,2,0,no,yes,no,yes,yes,yes,no,1,3,4,3,2,3,6,12,10,10,1
GP,M,17,U,LE3,T,4,0,1,2,0,no,yes,no,yes,yes,no,yes,4,4,5,2,1,1,6,15,15,14,1
GP,F,16,U,GT3,T,0,4,4,1,1,no,yes,no,yes,yes,yes,no,2,5,4,1,4,3,3,8,7,6,0
GP,M,15,U,LE3,T,1,2,1,4,0,no,no,no,no,yes,yes,no,4,3,2,3,4,5,1,18,16,18,1
MS,F,18,U,LE3,T,4,1,3,2,3,no,yes,yes,no,yes,yes,no,2,5,4,2,4,1,5,9,9,9,0
GP,F,15,R,GT3,T,4,2,2,4,2,no,yes,no,no,yes,yes,yes,2,1,1,4,2,1,5,8,7,8,0
GP,F,16,U,GT3,A,2,3,1,1,0,no,yes,no,yes,yes,yes,no,4,3,5,2,3,3,5,17,19,19,1
GP,F,19,U,GT3,T,4,3,2,3,1,no,yes,no,no,yes,yes,no,5,2,5,3,2,1,3,14,14,14,1
GP,M,19,U,GT3,T,1,3,3,4,0,no,no,yes,yes,no,yes,yes,4,5,3,4,5,2,1,12,13,12,1
MS,F,19,U,GT3,T,3,4,4,4,0,no,no,no,no,no,yes,yes,2,2,3,5,3,2,4,10,11,11,1
GP,M,18,U,GT3,T,3,0,1,3,0,no,no,yes,yes,yes,no,no,3,3,1,2,1,3,4,16,17,17,1
MS,F,17,R,GT3,T,3,2,4,3,0,no,no,yes,no,yes,yes,yes,3,5,5,1,4,5,1,17,17,19,1
MS,M,17,U,GT3,T,3,1,2,1,1,no,yes,no,yes,yes,yes,no,1,2,5,4,3,1,5,15,15,16,1
GP,M,15,R,GT3,T,2,3,1,4,0,no,yes,no,yes,no,yes,yes,3,4,3,4,3,4,3,15,15,15,1
GP,M,18,R,GT3,T,4,2,3,4,0,no,yes,no,no,yes,yes,no,5,4,3,5,4,3,0,16,17,18,1
MS,F,19,U,LE3,A,3,3,3,1,0,no,yes,no,yes,yes,no,no,2,1,4,2,1,1,1,12,13,13,1
MS,F,19,R,GT3,T,0,3,4,4,0,no,yes,no,no,yes,yes,no,4,3,5,1,2,3,2,19,19,19,1
MS,F,16,U,LE3,T,3,1,3,2,0,yes,no,yes,no,yes,yes,no,4,2,5,5,2,3,4,16,15,15,1
MS,M,16,U,GT3,T,4,4,3,2,1,no,yes,no,no,yes,yes,no,5,1,4,2,3,5,3,13,13,12,1
GP,F,19,U,GT3,A,3,0,4,2,0,no,no,yes,yes,yes,yes,no,3,3,5,1,4,4,0,14,14,15,1
GP,F,19,U,LE3,T,2,4,4,4,0,no,yes,no,yes,yes,yes,yes,2,4,1,1,5,1,6,15,15,15,1
GP,M,18,U,LE3,T,1,2,1,2,0,no,yes,yes,no,yes,yes,no,3,2,3,3,1,3,2,15,15,15,1
MS,F,17,U,GT3,A,1,4,1,2,0,no,yes,yes,yes,yes,no,yes,1,5,3,1,2,3,4,17,16,16,1
GP,M,16,U,GT3,T,4,2,4,1,2,no,yes,no,no,yes,yes,no,3,4,3,2,1,1,2,6,6,5,0
GP,F,17,U,LE3,T,1,2,2,1,0,no,yes,yes,yes,yes,yes,yes,1,5,2,5,1,3,3,14,14,13,1
GP,F,18,U,GT3,T,1,0,2,3,1,no,yes,yes,yes,no,yes,yes,4,5,1,5,1,3,6,8,9,9,0
GP,M,19,R,GT3,T,0,1,1,3,0,no,yes,no,yes,yes,yes,no,2,2,1,3,4,3,5,11,12,12,1
GP,F,17,R,GT3,T,4,0,1,3,0,no,yes,yes,yes,yes,yes,yes,1,2,4,2,4,2,1,18,18,18,1
MS,M,19,U,GT3,T,4,4,4,3,3,no,yes,yes,yes,yes,yes,yes,3,5,2,1,4,2,2,13,13,13,1
GP,F,19,U,GT3,A,1,2,2,1,1,no,no,yes,no,yes,yes,no,3,1,5,3,3,4,3,12,11,11,1
MS,F,15,R,LE3,A,1,3,4,1,0,no,no,no,no,yes,yes,no,4,5,1,4,4,5,4,9,10,9,0
GP,M,17,R,GT3,T,1,3,1,1,0,no,yes,no,yes,yes,yes,no,5,5,2,2,3,1,7,10,10,9,0
GP,M,17,R,GT3,T,2,2,3,2,0,no,no,no,no,yes,yes,no,5,2,2,3,2,5,4,17,19,18,1
MS,M,19,U,LE3,T,3,0,3,2,0,no,no,no,no,yes,no,yes,3,3,1,5,2,5,2,11,11,12,1
MS,F,18,U,LE3,T,2,1,3,3,1,no,no,yes,no,yes,yes,no,5,4,4,3,2,2,3,14,14,12,1
GP,M,15,U,LE3,T,4,0,4,2,1,yes,yes,no,no,yes,yes,yes,2,2,2,4,2,4,5,13,13,13,1
MS,F,19,U,GT3,T,0,2,2,4,0,no,yes,yes,no,no,yes,no,5,1,3,2,2,5,2,13,12,13,1
GP,F,16,R,GT3,T,3,2,1,1,2,no,no,no,yes,yes,yes,no,2,4,2,3,4,5,6,9,9,8,0
GP,M,16,R,GT3,T,0,1,2,3,0,no,yes,no,yes,yes,yes,no,3,2,5,1,5,3,3,13,15,16,1
GP,F,15,U,GT3,A,4,4,2,3,0,no,no,no,yes,yes,yes,no,3,2,1,2,4,1,2,15,15,15,1
GP,M,18,R,GT3,T,4,4,1,4,0,yes,no,yes,no,yes,no,yes,3,3,5,3,5,4,7,16,14,15,1
GP,F,19,U,LE3,T,0,1,2,2,0,no,yes,yes,yes,yes,yes,no,4,1,4,3,4,1,4,11,11,11,1
GP,F,17,U,LE3,T,0,4,3,3,0,no,yes,no,no,yes,no,no,5,1,3,2,2,2,2,8,9,8,0
GP,M,15,U,GT3,T,0,3,1,2,0,no,yes,yes,yes,yes,yes,yes,1,2,1,5,1,5,7,16,15,16,1
GP,M,18,R,LE3,T,4,4,3,2,0,no,yes,no,no,yes,yes,yes,1,3,2,1,5,5,5,11,13,12,1
GP,M,17,U,GT3,T,1,4,4,4,0,no,yes,no,yes,no,yes,no,3,2,3,2,1,1,3,19,19,19,1
MS,M,16,R,GT3,T,0,4,3,3,1,no,yes,no,yes,yes,yes,no,5,5,2,1,2,2,2,14,15,15,1
GP,M,16,R,LE3,T,3,3,4,2,0,no,yes,yes,yes,yes,yes,no,2,5,4,1,5,3,4,14,12,14,1
GP,M,17,U,GT3,T,4,4,4,2,0,yes,yes,no,yes,yes,yes,no,1,3,1,2,1,3,2,16,15,14,1
MS,M,15,U,GT3,T,2,3,1,4,1,no,no,no,yes,no,yes,yes,3,2,4,3,4,5,3,13,12,12,1
GP,F,16,R,GT3,T,2,1,3,4,2,no,yes,no,no,no,yes,no,1,3,4,5,2,5,3,12,12,13,1
GP,F,19,U,LE3,A,3,0,3,2,2,no,no,yes,yes,yes,yes,no,1,2,4,1,4,4,2,11,9,10,1
GP,F,17,R,GT3,T,1,1,3,4,0,no,no,yes,yes,yes,yes,yes,1,2,4,1,4,1,10,12,12,13,1
GP,M,17,R,LE3,A,0,0,1,2,0,no,yes,yes,no,yes,yes,no,3,5,2,3,2,5,7,17,18,17,1
MS,M,16,U,GT3,T,4,1,4,3,0,no,no,yes,yes,yes,yes,yes,3,4,5,2,5,2,3,16,14,15,1
MS,F,15,U,LE3,A,0,0,4,1,0,yes,yes,no,no,yes,yes,yes,4,1,2,5,3,1,2,14,16,15,1
GP,M,19,R,GT3,T,4,0,4,4,2,no,no,no,no,yes,yes,yes,4,1,3,1,3,4,6,16,17,16,1
MS,M,15,U,GT3,T,2,2,1,1,0,no,yes,yes,yes,yes,yes,no,4,3,4,1,2,3,4,12,12,11,1
MS,F,18,U,GT3,T,0,0,1,2,0,no,yes,no,yes,no,yes,no,1,1,3,2,3,4,4,15,14,14,1
GP,M,18,U,LE3,T,3,0,2,2,0,no,yes,yes,yes,no,no,no,5,5,2,3,1,1,5,16,14,16,1
MS,M,16,U,LE3,T,1,2,3,2,0,no,yes,yes,no,yes,no,yes,3,4,4,4,5,3,4,16,15,15,1
GP,F,16,R,LE3,T,3,4,4,1,1,no,yes,yes,no,yes,no,no,4,2,2,3,4,2,5,12,13,14,1
MS,M,16,R,LE3,T,1,4,2,2,0,no,yes,yes,no,yes,yes,no,5,2,4,1,4,3,3,16,16,16,1
MS,F,18,U,LE3,T,0,2,2,4,0,no,yes,no,no,yes,yes,no,4,5,2,1,2,3,6,16,15,15,1
GP,M,15,U,GT3,T,0,3,3,3,0,no,yes,yes,yes,yes,yes,no,4,1,1,5,4,2,5,11,12,13,1
GP,M,15,U,LE3,T,1,0,1,3,0,no,yes,no,no,yes,yes,no,5,2,5,3,1,5,2,14,16,15,1
GP,M,16,R,LE3,T,2,0,2,4,0,no,yes,no,no,yes,no,yes,4,1,5,4,1,5,2,12,12,13,1
GP,F,19,U,GT3,T,4,2,1,3,0,no,yes,no,no,yes,yes,no,1,5,4,5,2,3,5,18,18,17,1
MS,M,15,U,LE3,T,3,2,1,1,0,no,yes,yes,no,yes,yes,no,1,2,1,4,4,3,5,12,10,12,1
MS,M,18,U,LE3,T,3,3,3,2,0,no,no,yes,no,yes,yes,no,1,3,3,5,3,4,5,17,16,17,1
GP,F,17,U,LE3,T,3,4,2,2,2,no,yes,yes,yes,yes,yes,yes,2,4,1,3,3,5,8,7,8,8,0
GP,M,17,R,GT3,T,0,1,4,2,2,no,no,no,yes,yes,yes,yes,4,1,4,1,5,2,9,11,11,10,1
GP,F,17,U,LE3,A,3,4,2,1,2,no,yes,yes,yes,yes,yes,no,2,1,1,4,2,3,7,8,8,8,0
GP,M,19,U,GT3,T,4,0,4,1,0,no,no,no,yes,yes,no,yes,3,1,3,3,5,3,5,7,7,8,0
GP,F,16,U,GT3,T,4,2,4,1,0,yes,yes,no,no,yes,no,yes,5,1,4,4,3,4,4,16,16,16,1
GP,F,18,R,LE3,T,1,3,1,4,0,no,yes,no,yes,yes,yes,no,3,5,5,3,3,4,6,20,19,20,1
MS,F,19,U,GT3,T,0,4,4,1,2,no,yes,no,no,yes,yes,no,2,5,1,5,3,4,2,9,9,10,1
GP,M,18,U,LE3,T,4,3,3,3,3,yes,yes,yes,no,yes,yes,no,1,5,5,3,5,1,2,10,8,9,0
GP,F,18,U,LE3,T,2,4,2,4,1,no,yes,no,yes,yes,yes,no,4,5,5,5,2,2,6,15,15,14,1
MS,M,16,R,GT3,T,0,0,1,4,0,no,yes,no,no,yes,no,yes,4,2,2,1,1,1,7,19,18,18,1
GP,F,17,U,GT3,T,0,1,1,4,2,no,no,no,no,yes,yes,no,1,5,3,5,1,3,5,9,9,9,0
MS,F,16,U,GT3,T,4,3,4,1,0,no,yes,no,no,yes,yes,yes,4,2,1,2,3,4,1,11,11,12,1
MS,M,19,U,LE3,T,2,3,1,4,0,no,yes,no,yes,yes,yes,no,5,3,5,1,2,4,6,20,20,20,1
GP,M,19,R,GT3,T,1,1,3,1,0,no,no,yes,yes,yes,yes,no,5,5,5,3,2,4,4,18,18,19,1
GP,F,19,U,GT3,T,4,3,3,1,0,no,yes,yes,yes,yes,yes,no,5,3,3,3,4,5,3,16,16,17,1
GP,M,16,R,LE3,T,2,3,1,4,0,no,no,yes,yes,yes,yes,yes,3,5,5,2,4,2,1,18,18,18,1
GP,M,18,U,LE3,T,0,4,1,2,0,no,yes,yes,no,yes,yes,no,1,3,5,3,5,1,7,14,11,12,1
GP,M,18,U,LE3,A,2,4,3,2,0,yes,no,yes,no,yes,yes,yes,5,4,5,1,4,2,2,14,15,14,1
GP,F,15,U,LE3,T,0,1,4,4,0,no,yes,no,no,yes,yes,no,2,3,5,1,5,4,7,14,13,13,1
GP,F,19,R,GT3,T,4,0,1,2,1,no,no,no,no,yes,yes,no,5,2,2,5,1,3,8,11,13,12,1
GP,M,18,U,GT3,T,4,3,4,3,0,no,no,no,no,yes,yes,no,3,1,2,4,3,5,6,20,19,20,1
GP,F,15,R,GT3,T,3,0,1,3,0,no,yes,no,yes,yes,yes,yes,2,3,4,3,2,2,3,20,19,19,1
MS,M,18,R,LE3,T,3,1,3,1,1,no,yes,no,no,yes,yes,no,1,1,1,2,1,3,2,12,12,11,1
GP,M,19,U,GT3,T,3,1,1,2,2,no,yes,yes,yes,yes,yes,no,1,4,3,1,1,4,5,7,8,8,0
GP,M,17,R,LE3,T,4,4,1,3,0,no,no,yes,no,yes,yes,yes,5,4,4,1,5,4,6,20,18,19,1
GP,M,19,R,LE3,T,1,3,1,4,0,no,yes,no,yes,no,no,no,2,2,2,1,3,4,0,17,16,16,1
MS,M,16,U,LE3,T,4,2,3,2,0,no,yes,yes,yes,yes,yes,yes,2,2,2,4,5,4,4,9,9,10,1
GP,F,18,U,LE3,A,2,1,3,3,0,yes,yes,yes,no,yes,yes,no,5,3,2,4,1,5,5,17,16,17,1
GP,M,18,R,GT3,T,4,3,3,3,0,no,yes,yes,no,yes,yes,no,5,5,4,3,2,5,5,14,15,14,1
MS,F,16,U,GT3,T,4,0,2,4,1,no,yes,yes,no,yes,yes,no,4,4,2,2,4,2,4,13,13,13,1
GP,F,16,R,GT3,T,0,4,2,1,0,no,no,no,no,yes,yes,no,4,1,4,4,5,4,4,11,10,11,1
MS,M,17,R,LE3,T,0,0,2,4,1,no,yes,no,yes,yes,no,yes,5,5,2,5,1,5,2,12,13,11,1
GP,M,18,U,LE3,T,0,1,2,1,1,no,no,no,no,yes,yes,yes,3,4,5,4,4,3,1,11,12,12,1
GP,M,18,R,LE3,T,4,1,3,3,2,no,yes,no,yes,yes,yes,no,4,3,5,1,4,5,3,10,11,10,1
GP,M,17,U,GT3,T,1,0,1,1,0,yes,yes,yes,no,yes,yes,no,5,4,1,2,1,5,6,12,12,12,1
GP,F,15,U,GT3,T,2,1,3,3,2,no,yes,yes,no,yes,yes,yes,2,2,2,3,3,2,2,15,16,16,1
GP,F,17,U,GT3,T,2,3,2,3,0,no,yes,yes,yes,yes,yes,no,4,1,1,4,1,5,2,12,12,13,1
MS,M,19,U,LE3,T,1,1,4,2,0,no,no,yes,no,yes,yes,no,3,1,4,1,2,3,1,11,12,11,1
GP,F,18,U,GT3,T,1,4,4,1,0,no,no,no,no,yes,yes,yes,1,2,1,5,4,4,3,10,9,10,1
GP,F,16,R,GT3,A,2,3,3,1,0,no,yes,no,yes,yes,yes,no,2,5,2,5,2,1,5,12,12,11,1
GP,F,19,R,GT3,T,3,2,1,1,1,no,yes,no,no,no,yes,yes,3,2,4,3,5,2,6,12,12,11,1
GP,F,18,U,GT3,T,0,1,2,4,0,no,yes,yes,no,yes,yes,no,3,1,4,3,4,3,5,16,17,16,1
GP,F,17,U,GT3,T,0,1,1,2,0,no,no,no,no,yes,yes,yes,3,3,5,4,3,2,4,14,15,15,1
GP,F,19,R,GT3,T,2,4,1,2,0,no,no,no,yes,yes,yes,no,2,5,4,3,1,4,10,14,15,15,1
GP,F,18,U,LE3,T,1,4,1,2,0,no,no,no,yes,yes,yes,no,3,4,4,1,5,5,0,15,16,17,1
GP,F,15,R,GT3,T,3,0,2,4,0,no,yes,no,no,yes,yes,no,1,3,1,1,2,5,5,19,19,19,1
GP,M,15,R,LE3,T,2,0,3,1,1,no,yes,no,yes,yes,yes,no,4,5,4,1,5,3,7,4,5,5,0
GP,F,16,R,GT3,T,0,0,2,1,0,no,yes,no,no,yes,yes,no,2,1,3,4,3,4,2,11,11,10,1
GP,F,18,R,GT3,T,4,4,2,1,0,yes,yes,no,yes,yes,no,yes,3,1,5,4,1,1,4,17,18,17,1
GP,M,15,U,GT3,T,1,0,3,2,0,no,yes,yes,no,yes,yes,no,5,3,5,3,5,1,3,20,20,19,1
MS,F,17,R,GT3,T,4,0,3,2,0,no,yes,no,no,yes,yes,no,4,5,4,4,2,5,7,11,11,11,1
GP,M,18,U,GT3,T,2,2,3,3,0,no,yes,yes,yes,yes,yes,no,2,4,1,1,5,4,5,17,17,16,1
GP,M,17,R,GT3,T,0,0,4,4,0,no,no,yes,yes,yes,yes,yes,5,4,5,2,1,4,3,14,14,14,1
GP,F,17,U,GT3,T,3,1,4,4,3,no,no,no,no,yes,yes,yes,5,2,5,1,5,3,2,15,14,15,1
MS,F,15,R,GT3,T,4,4,3,2,0,no,yes,no,no,yes,yes,no,3,3,3,2,2,1,4,11,11,12,1
MS,M,18,R,GT3,T,3,3,1,3,0,no,yes,yes,yes,yes,yes,no,2,5,4,3,1,3,6,19,20,20,1
GP,M,19,U,GT3,T,0,2,4,1,0,no,yes,no,no,no,yes,no,3,3,5,5,3,2,2,9,7,6,0
GP,F,15,U,GT3,T,4,4,2,2,2,no,no,yes,yes,yes,yes,no,1,4,5,4,3,4,4,8,11,10,1
MS,M,15,R,GT3,T,3,4,2,4,0,no,no,no,yes,yes,yes,yes,5,5,5,4,4,1,7,18,19,19,1
GP,F,18,U,GT3,T,3,1,4,4,0,no,no,no,no,yes,yes,no,1,1,5,1,5,3,2,19,19,20,1
GP,M,18,U,GT3,A,4,0,2,4,1,yes,no,no,yes,yes,yes,no,3,1,1,1,2,5,5,16,16,14,1
GP,F,17,U,LE3,T,0,1,3,1,0,yes,yes,no,no,yes,yes,no,4,5,2,2,5,2,8,13,12,12,1
GP,M,18,U,LE3,T,3,0,2,4,0,yes,yes,yes,yes,yes,yes,yes,5,3,3,4,1,3,1,18,18,19,1
MS,M,17,R,GT3,T,2,0,4,1,0,no,yes,no,yes,yes,yes,yes,4,3,1,3,4,5,4,13,14,13,1
MS,M,15,U,LE3,T,4,4,1,1,0,yes,yes,yes,yes,yes,yes,yes,2,1,3,1,2,1,6,18,17,17,1
GP,F,16,U,GT3,T,1,0,2,1,0,no,no,no,no,yes,yes,no,5,1,5,4,5,1,4,11,11,9,0
GP,F,19,U,GT3,A,1,2,2,2,0,no,yes,no,no,yes,yes,yes,1,4,3,5,2,2,4,16,14,14,1
GP,F,15,U,GT3,T,0,2,1,1,0,no,yes,no,no,yes,no,yes,4,5,4,2,1,5,2,12,11,10,1
MS,F,18,U,GT3,T,2,2,4,3,0,no,yes,yes,yes,yes,yes,no,2,3,4,1,4,4,4,16,18,17,1
MS,F,19,U,GT3,T,3,4,1,4,0,no,no,yes,yes,yes,yes,yes,5,4,2,1,2,1,5,18,18,19,1
MS,M,16,U,GT3,T,1,1,2,2,2,no,yes,yes,no,yes,yes,yes,2,3,2,3,1,4,3,8,8,7,0
MS,F,16,U,GT3,T,0,3,4,4,1,no,no,no,yes,yes,yes,yes,1,1,3,1,3,4,6,12,14,13,1
GP,F,17,R,LE3,T,2,0,3,1,1,no,yes,no,no,yes,yes,yes,5,5,1,4,2,3,2,13,14,14,1
GP,M,19,U,GT3,T,2,3,4,2,0,no,yes,yes,yes,yes,yes,no,2,2,1,4,4,3,4,16,17,16,1
GP,M,17,U,LE3,T,0,1,4,3,0,no,yes,no,no,no,yes,no,3,5,5,4,2,1,6,12,11,10,1
MS,M,15,U,GT3,T,0,1,3,1,0,no,no,no,yes,yes,yes,no,5,2,1,5,2,4,3,10,9,10,1
GP,M,19,U,GT3,T,3,4,4,4,0,no,yes,yes,no,yes,yes,no,5,4,2,5,1,3,5,18,18,18,1
GP,F,15,U,LE3,T,0,2,2,3,3,no,no,no,yes,yes,yes,no,5,2,1,1,5,5,5,7,8,7,0
GP,F,17,U,GT3,T,3,2,2,1,0,no,yes,no,yes,yes,yes,no,5,2,5,5,5,5,1,10,9,9,0
GP,M,19,R,GT3,T,3,1,2,3,0,no,yes,no,yes,yes,no,yes,3,4,4,5,2,5,5,12,12,12,1
GP,M,17,U,LE3,T,4,4,2,1,0,no,no,yes,yes,yes,no,yes,1,5,1,3,4,5,6,12,12,12,1
GP,F,19,U,GT3,T,2,4,3,2,0,yes,yes,yes,yes,yes,yes,no,3,4,1,5,4,4,2,10,12,13,1
GP,M,17,R,LE3,T,2,0,2,1,0,no,yes,yes,no,yes,yes,yes,3,1,2,2,1,5,3,8,9,9,0
GP,F,16,U,LE3,T,2,2,4,2,0,no,no,yes,no,yes,yes,yes,2,1,3,2,2,4,0,14,12,14,1
